Totaltid [m],[s],Totaltid [s],Totaltid [m]
3,34,214,3.566666667
3,45,225,3.75
3,31,211,3.516666667
3,36,216,3.6
3,36,216,3.6
3,26,206,3.433333333
3,16,196,3.266666667
3,39,219,3.65
3,56,236,3.933333333
3,45,225,3.75
3,38,218,3.633333333
3,50,230,3.833333333
3,35,215,3.583333333
3,58,238,3.966666667
3,52,232,3.866666667
4,53,293,4.883333333
4,4,244,4.066666667
4,15,255,4.25
4,28,268,4.466666667
4,44,284,4.733333333
4,28,268,4.466666667
4,0,240,4
5,41,341,5.683333333
